login,n,name,blog
agisga,1,Alexej Gossmann,http://www.alexejgossmann.com/
chriselrod,1,NA,NA
cpsievert,115,Carson Sievert,https://cpsievert.me/
davechilders,1,Dave Childers,NA
dicorynia,1,NA,NA
djmurphy420,2,Dennis Murphy,NA
djnavarro,25,Danielle Navarro,https://djnavarro.net
dmurdoch,1,NA,NA
dongzhuoer,4,Zhuoer Dong,https://dongzhuoer.github.io
dyavorsky,1,Dan Yavorsky,https://sites.google.com/view/dan-yavorskys-website/about
fjuniorr,1,Francisco Júnior,NA
gokceneraslan,5,Gökçen Eraslan,NA
hadley,534,Hadley Wickham,http://hadley.nz
jashapiro,1,jashapiro,NA
jimhester,3,Jim Hester,http://www.jimhester.com
jmgirard,1,Jeffrey Girard,https://www.jmgirard.com
joelgombin,1,Joel Gombin,joelgombin.github.com
jonas-hag,1,NA,NA
lindbrook,5,NA,NA
MarHer90,2,NA,NA
mine-cetinkaya-rundel,1,Mine Cetinkaya-Rundel,http://mine-cr.com
neilmcguigan,1,Neil McGuigan,NA
nevrome,1,Clemens Schmid,https://nevrome.de
pitmonticone,1,Pietro Monticone,NA
pkq,1,Patrick Kennedy,NA
Robinlovelace,5,Robin,https://www.robinlovelace.net
seaaan,1,Sean Hughes,NA
thomasp85,21,Thomas Lin Pedersen,www.data-imaginist.com
tklebel,1,Thomas Klebel,https://thomasklebel.eu
tomjemmett,1,Tom Jemmett,https://www.strategyunitwm.nhs.uk/
truemoid,2,Alex Trueman,NA
wibeasley,1,Will Beasley,http://scholar.google.com/citations?user=ffsJTC0AAAAJ&hl=en
wjakethompson,1,Jake Thompson,https://wjakethompson.com/
yiluheihei,3,Yang Cao,https://www.choyang.me
yutannihilation,3,Hiroaki Yutani,https://yutani.rbind.io/
